productId,productName,month,type,plant,averageFootprintPerUnit,totalFootprint,quantity,aggregatesWithPercentages
BeeSug100,Beet Sugar,1,raw,MUC (Munich - Germany),0.69600000000000,3132.00,4500.00,
BeeSug100,Beet Sugar,2,raw,MUC (Munich - Germany),0.7954207298737239,5012.3265502548775,6301.478402568919,
BeeSug100,Beet Sugar,3,raw,MUC (Munich - Germany),0.8220463004021599,4254.8891688893245,5175.972651184922,
BeeSug100,Beet Sugar,4,raw,MUC (Munich - Germany),0.5714103823501318,3239.9042441640713,5670.012908828842,
BeeSug100,Beet Sugar,5,raw,MUC (Munich - Germany),0.48583313827344865,2951.15595303199,6074.42292536856,
BeeSug100,Beet Sugar,6,raw,MUC (Munich - Germany),0.5755416974996392,2738.9452036686457,4758.899686274012,
BeeSug100,Beet Sugar,7,raw,MUC (Munich - Germany),0.447216267239508,2511.825845095506,5616.579782752603,
BeeSug100,Beet Sugar,8,raw,MUC (Munich - Germany),0.5181398573494861,2682.3711415943317,5176.924923930468,
BeeSug100,Beet Sugar,9,raw,MUC (Munich - Germany),0.7094140467998518,4062.5725341137736,5726.659279499655,
BeeSug100,Beet Sugar,10,raw,MUC (Munich - Germany),0.4821824786903921,2453.3372213326043,5087.985005170386,
BeeSug100,Beet Sugar,11,raw,MUC (Munich - Germany),0.43307207944062864,2577.931779201083,5952.662158527586,
BeeSug100,Beet Sugar,12,raw,MUC (Munich - Germany),0.8776285969136371,4431.312453896643,5049.188767868632,
Butter100,Butter (Cow Milk),1,raw,MUC (Munich - Germany),9.30000000000000,6975.00,750.00,
Butter100,Butter (Cow Milk),2,raw,MUC (Munich - Germany),10.458999438772084,7727.332213030058,738.8213622408673,
Butter100,Butter (Cow Milk),3,raw,MUC (Munich - Germany),10.917795578105842,10845.465296568544,993.3750104570242,
Butter100,Butter (Cow Milk),4,raw,MUC (Munich - Germany),5.8767102719653215,5219.218147683352,888.1190166174234,
Butter100,Butter (Cow Milk),5,raw,MUC (Munich - Germany),9.479203718941477,6334.336558000171,668.2350908170495,
Butter100,Butter (Cow Milk),6,raw,MUC (Munich - Germany),6.964546455831442,5615.224831281913,806.2585075558313,
Butter100,Butter (Cow Milk),7,raw,MUC (Munich - Germany),8.925596644097508,9737.481923238825,1090.9614574257303,
Butter100,Butter (Cow Milk),8,raw,MUC (Munich - Germany),12.133292530011055,10551.589937352393,869.6394578185267,
Butter100,Butter (Cow Milk),9,raw,MUC (Munich - Germany),12.881083009487593,11964.968871640462,928.8791061145739,
Butter100,Butter (Cow Milk),10,raw,MUC (Munich - Germany),8.210341637422836,9121.81687063525,1111.0155062315432,
Butter100,Butter (Cow Milk),11,raw,MUC (Munich - Germany),11.728455901448495,12165.671263167249,1037.2781690439538,
Butter100,Butter (Cow Milk),12,raw,MUC (Munich - Germany),5.208480443094926,5355.442658188231,1028.2159483363594,
CocBea100,Cocoa Beans,1,raw,MUC (Munich - Germany),12.20000000000000,9150.00,750.00,
